Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2022-01-03,1713.3251953125,3267.5771484375,692.9201049804688,704.0206298828125,667.2513427734375,108.44589233398438,997.3214767831429,938.9625854492188,1086.8751220703125,711.0423583984375,2178.458984375,735.57275390625,1668.1517333984375,172.5172119140625,362.9258117675781,1827.4776611328125,7185.0078125,936.3271484375,106.7994613647461,109.8040542602539,125.17642974853516,1088.74658203125,430.6629638671875,808.0421752929688,1007.2904164690497,3322.837158203125,1514.1998291015625,2483.01025390625,7400.87158203125,328.2542724609375
2022-01-04,1715.1710205078125,3302.80859375,705.6571655273438,716.053955078125,673.1874389648438,106.8398208618164,998.0725045666875,935.5380859375,1092.85791015625,715.2066040039062,2215.3154296875,743.4122314453125,1668.766845703125,173.4226837158203,368.5254821777344,1841.448486328125,7286.423828125,946.3720092773438,112.6479721069336,113.45014190673828,128.5959014892578,1113.3175048828125,442.2802734375,797.334228515625,1005.7444016310004,3381.15234375,1518.4417724609375,2541.203125,7330.3974609375,329.5331420898437
2022-01-05,1711.6290283203125,3367.254638671875,723.3197021484375,748.0194702148438,675.648681640625,107.32861328125,1001.3396140363475,926.822021484375,1074.2535400390625,732.1912841796875,2228.73876953125,758.0332641601562,1620.8780517578125,173.65890502929688,382.3605651855469,1851.9505615234373,7425.1318359375,948.5940551757812,111.8851547241211,115.40753173828124,127.40519714355467,1118.526123046875,450.4215393066406,794.8595581054688,1015.1985850197674,3360.43701171875,1474.113525390625,2534.46435546875,7339.212890625,325.8792724609375
2022-01-06,1709.2843017578125,3355.654052734375,726.7029418945312,755.5719604492188,685.6869506835938,107.99200439453124,973.773148731276,916.9645385742188,1053.0677490234375,720.447021484375,2206.228515625,755.1475219726562,1597.2852783203125,172.2022247314453,376.3431701660156,1829.0458984375,7527.07373046875,934.8807373046876,110.9527816772461,115.75289154052734,125.75652313232422,1094.4761962890625,449.7812194824219,789.62451171875,1037.2485809881698,3313.87255859375,1435.5543212890625,2553.894287109375,7146.619140625,322.3396301269531
2022-01-07,1695.3154296875,3414.51513671875,727.0014038085938,746.90283203125,680.1851806640625,109.59808349609376,970.8121331458138,910.9570922851562,1057.6983642578125,725.5003662109375,2229.061279296875,763.0352172851562,1594.209716796875,171.9660186767578,378.7999267578125,1810.4180908203125,7549.89697265625,947.0285034179688,111.33419799804688,120.55034637451172,125.29854583740234,1103.30810546875,449.36956787109375,789.0059204101562,1034.2812180626595,3353.95263671875,1445.5228271484375,2531.06982421875,7241.8623046875,324.9658203125
2022-01-10,1748.6962890625,3392.746337890625,739.1414184570312,753.9190673828125,680.4265747070312,112.21673583984376,962.0454715849022,909.1481323242188,1055.6903076171875,729.5242919921875,2220.66650390625,779.86865234375,1626.2381591796875,175.82423400878906,387.4928588867188,1856.227294921875,7759.60595703125,937.757080078125,111.7580108642578,121.54824829101562,124.56581115722656,1104.2138671875,460.7124328613281,786.8643188476562,1031.3225788309876,3376.886962890625,1455.8309326171875,2614.49755859375,7267.923828125,316.7445983886719
2022-01-11,1839.79296875,3378.6640625,739.5891723632812,747.9267578125,678.9786987304688,110.7153778076172,949.144191439505,903.382568359375,1101.2171630859375,732.6825561523438,2217.529296875,779.7724609375,1630.4996337890625,174.76126098632812,385.27484130859375,1863.8780517578125,7777.033203125,940.3240966796876,112.1394271850586,123.5439453125,124.47425842285156,1112.1627197265625,462.8163757324219,792.2896728515625,1054.5435579790942,3408.263427734375,1473.774169921875,2610.4150390625,7288.18896484375,317.0414733886719
2022-01-12,1826.023681640625,3383.4853515625,743.17138671875,758.1317138671875,704.798095703125,111.27403259277344,945.8133094916085,908.0549926757812,1108.18359375,728.3546142578125,2226.2939453125,792.3734130859375,1649.6993408203125,175.39117431640625,389.2135314941406,1876.28076171875,7802.7216796875,937.7142333984376,113.4532241821289,126.61434936523438,125.1458969116211,1141.851318359375,466.749755859375,795.9065551757812,1066.2244224545625,3359.523193359375,1468.08984375,2570.668701171875,7338.39892578125,315.7625732421875
2022-01-13,1849.221923828125,3299.896240234375,737.0517578125,761.4326782226562,706.3424682617188,115.04483795166016,970.0415974436386,914.3526000976562,1093.513671875,714.9492797851562,2227.262939453125,793.2872924804688,1666.7020263671875,176.33602905273438,383.1960754394531,1918.28857421875,7713.24169921875,938.0615234375,114.3855972290039,125.84674072265624,127.0082778930664,1148.28271484375,467.7559814453125,823.794677734375,1059.7125440853947,3392.596923828125,1458.206298828125,2576.866455078125,7288.66845703125,296.7624816894531
2022-01-14,1866.0843505859373,3212.200927734375,718.1453247070312,763.7582397460938,695.5321044921875,115.04483795166016,979.0672772328198,907.242431640625,1095.93115234375,722.9738159179688,2180.6728515625,788.7662963867188,1695.30322265625,175.2730712890625,385.5533142089844,1943.3316650390625,7720.0703125,923.108642578125,114.72467041015624,123.6207275390625,126.8556137084961,1149.95849609375,465.01177978515625,818.3217163085938,1068.1167175760515,3453.73974609375,1474.283447265625,2550.795654296875,7340.1708984375,292.218017578125
